id,duracion,cantidad_participantes,nombre_perro,raza,velocidad,distancia,puesto
1,20,3,Yaro,grande,15.0,300,1
1,20,3,Rayza,mediano,12.0,240,2
1,20,3,Layca,mediano,10.0,200,3
2,45,3,Yaro,grande,21.0,945,1
2,45,3,Rayza,mediano,20.0,900,2
2,45,3,Layca,mediano,19.0,855,3
3,34,2,Rayza,mediano,20.0,680,1
3,34,2,Kayzer,mediano,18.0,612,2
4,100,4,Yaro,grande,17.0,1700,1
4,100,4,Rayza,mediano,15.0,1500,2
4,100,4,Tanner,mediano,13.0,1300,3
4,100,4,Layca,mediano,5.0,500,4
5,100,3,Yaro,grande,21.0,2100,1
5,100,3,Layca,mediano,9.0,900,2
5,100,3,Tanner,mediano,9.0,900,3
6,20,2,Kayzer,mediano,14.0,280,1
6,20,2,Alex,grande,10.0,200,2
